Less: Set horizontal scroll amount (0 = one half screen width).	-# [N]  --shift=[N]
Less: Exit F command on a pipe when writer closes pipe.	--exit-follow-on-close
Less: Automatically determine the size of the input file.	--file-size
Less: The F command changes files if the input file is renamed.	--follow-name
Less: Stop scrolling when a form feed character is reached.	--form-feed
Less: Use L lines (starting at line N) and C columns as headers.	--header=[L[,C[,N]]]
Less: Search file as each pattern character is typed in.	--incsearch
Less: Use C instead of ^X to interrupt a read.	--intr=[C]
Less: Use lesskey source file contents.	--lesskey-context=text
Less: Use a lesskey source file.	--lesskey-src=file
Less: Set the width of the -N line number field to N characters.	--line-num-width=[N]
Less: Show at least N characters to the left of a search match.	--match-shift=[N]
Less: Read N lines from the input file and look for vim modelines.	--modelines=[N]
Less: Enable mouse input.	--mouse
Less: Don't warn when using v command on a file opened via LESSOPEN.	--no-edit-warn
Less: Don't send termcap keypad init/deinit strings.	--no-keypad
Less: Remove duplicates from command history.	--no-histdups
Less: Don't give line numbers to header lines.	--no-number-headers
Less: Ignore pasted input.	--no-paste
Less: Searches do not include header lines.	--no-search-header-lines
Less: Searches do not include header columns.	--no-search-header-columns
Less: Searches do not include header lines or columns.	--no-search-headers
Less: Disable the terminal's visual bell.	--no-vbell
Less: Redraw final screen when quitting.	--redraw-on-quit
Less: Set the character used to mark truncated lines.	--rscroll=[C]
Less: Retain marks across invocations of less.	--save-marks
Less: Set default options for every search.	--search-options=[EFKNRW-]
Less: Display a message if preprocessor exits with an error status.	--show-preproc-errors
Less: Process backspaces for bold/underline.	--proc-backspace
Less: Treat backspaces as control characters.	--PROC-BACKSPACE
Less: Delete carriage returns before newline.	--proc-return
Less: Treat carriage returns as control characters.	--PROC-RETURN
Less: Expand tabs to spaces.	--proc-tab
Less: Treat tabs as control characters.	--PROC-TAB
Less: Set the width of the -J status column to N characters.	--status-col-width=[N]
Less: Highlight or color the entire line containing a mark.	--status-line
Less: Subsequent options use backslash as escape char.	--use-backslash
Less: Enables colored text.	--use-color
Less: Each click of the mouse wheel moves N lines.	--wheel-lines=[N]
Less: Wrap lines at spaces.	--wordwrap
Less: Move cursor right one character.	RightArrow  ESC-l
Less: Move cursor left one character.	LeftArrow  ESC-h
Less: Move cursor right one word.	ctrl-RightArrow  ESC-RightArrow  ESC-w
Less: Move cursor left one word.	ctrl-LeftArrow  ESC-LeftArrow  ESC-b
Less: Move cursor to start of line.	HOME  ESC-0
Less: Move cursor to end of line.	END  ESC-$
Less: Delete char to left of cursor.	BACKSPACE
Less: Delete char under cursor.	DELETE  ESC-x
Less: Delete word to left of cursor.	ctrl-BACKSPACE  ESC-BACKSPACE
Less: Delete word under cursor.	ctrl-DELETE  ESC-DELETE  ESC-X
Less: Delete entire line.	ctrl-U  ESC (MS-DOS only)
Less: Retrieve previous command line.	UpArrow  ESC-k
Less: Retrieve next command line.	DownArrow  ESC-j
Less: Complete filename & cycle.	TAB
Less: Complete filename & reverse cycle.	SHIFT-TAB  ESC-TAB
Less: Complete filename, list all.	ctrl-L
